site,year,sand,cinput,ligfrac,nfrac,till
1,1990,0.49,366,0.06,0.015,NT
1,1991,0.49,369,0.06,0.015,NT
1,1992,0.49,422.6223215,0.011,0.006,FT
1,1993,0.49,150.6906496,0.085,0.008,FT
1,1994,0.49,500.7989149,0.011,0.006,FT
1,1995,0.49,149.4842168,0.085,0.008,FT
1,1996,0.49,298.5367043,0.011,0.006,FT
1,1997,0.49,0,0.085,0.008,FT
1,1998,0.49,386.8890852,0.011,0.006,FT
1,1999,0.49,216.8031643,0.085,0.008,FT
1,2000,0.49,464.0333523,0.011,0.006,FT
1,2001,0.49,249.5779207,0.085,0.008,FT
1,2002,0.49,246.8617021,0.011,0.006,FT
1,2003,0.49,239.8862443,0.085,0.008,FT
1,2004,0.49,479.4437524,0.011,0.006,FT
1,2005,0.49,224.4841195,0.085,0.008,FT
1,2006,0.49,554.6466411,0.011,0.006,FT
1,2007,0.49,224.7656205,0.085,0.008,FT
1,2008,0.49,435.5793396,0.011,0.006,FT
1,2009,0.49,212.138291,0.085,0.008,FT
1,2010,0.49,538.7413135,0.011,0.006,FT
1,2011,0.49,203.7334762,0.085,0.008,FT
1,2012,0.49,443.3425844,0.011,0.006,FT
1,2013,0.49,253.2374334,0.085,0.008,FT
1,2014,0.49,615.9327886,0.011,0.006,FT
1,2015,0.49,258.9880962,0.085,0.008,FT
1,2016,0.49,0,0.011,0.006,FT
1,2017,0.49,132.5137295,0.085,0.008,FT
