site,year,sand,cinput,ligfrac,nfrac,till
1,1990,0.49,366,0.06,0.015,NT
1,1991,0.49,369,0.06,0.015,NT
1,1992,0.49,384.9866553,0.011,0.006,NT
1,1993,0.49,167.2187783,0.085,0.008,NT
1,1994,0.49,494.1330367,0.011,0.006,NT
1,1995,0.49,175.6638075,0.085,0.008,NT
1,1996,0.49,282.9485777,0.011,0.006,NT
1,1997,0.49,0,0.085,0.008,NT
1,1998,0.49,309.8333032,0.011,0.006,NT
1,1999,0.49,207.875562,0.085,0.008,NT
1,2000,0.49,490.5493898,0.011,0.006,NT
1,2001,0.49,220.6637491,0.085,0.008,NT
1,2002,0.49,246.8617021,0.011,0.006,NT
1,2003,0.49,244.1891878,0.085,0.008,NT
1,2004,0.49,480.5427261,0.011,0.006,NT
1,2005,0.49,227.2991293,0.085,0.008,NT
1,2006,0.49,560.6969049,0.011,0.006,NT
1,2007,0.49,205.2214099,0.085,0.008,NT
1,2008,0.49,450.266166,0.011,0.006,NT
1,2009,0.49,184.6718387,0.085,0.008,NT
1,2010,0.49,526.6897673,0.011,0.006,NT
1,2011,0.49,222.9559714,0.085,0.008,NT
1,2012,0.49,461.7032444,0.011,0.006,NT
1,2013,0.49,224.6449772,0.085,0.008,NT
1,2014,0.49,614.5170268,0.011,0.006,NT
1,2015,0.49,267.955913,0.085,0.008,NT
1,2016,0.49,0,0.011,0.006,NT
1,2017,0.49,132.5137295,0.085,0.008,NT
