year,month,tavg,mappet,irrig
1990,1,25.2,0.309006211,0
1990,2,22.4,0.803555556,0
1990,3,18.3,1.25,0
1990,4,15,1.25,0
1990,5,11,1.25,0
1990,6,7.5,0.004587156,0
1990,7,7.9,1.25,0
1990,8,12.3,0,0
1990,9,11.4,0.814327485,0
1990,10,16.8,1.25,0
1990,11,20.1,0.81674674,0
1990,12,21.5,0.818946188,0
1991,1,21.9,0.568455797,0
1991,2,21.7,0.523064894,0
1991,3,20.6,1.173780488,0
1991,4,15.8,1.25,0
1991,5,13.6,1.25,0
1991,6,8.3,1.25,0
1991,7,7.3,0.065693431,0
1991,8,9.7,1.04610951,0
1991,9,13.3,1.247678019,0
1991,10,14.1,1.056603774,0
1991,11,18.9,0.408513816,0
1991,12,20.3,1.25,0
1992,1,22.4,0.250789322,0
1992,2,21.9,0.589151981,0
1992,3,21.1,1.25,0
1992,4,14.4,0.265532998,0
1992,5,10.8,1.25,0
1992,6,10.3,0.130015901,0
1992,7,5.3,0.035944635,0
1992,8,9.9,0.671750705,0
1992,9,12.6,0.887401257,0
1992,10,15.8,0.388899144,0
1992,11,17,0.918898266,0
1992,12,20.8,1.012401894,0
1993,1,22.9,1.179824433,0
1993,2,21.4,0.752091834,0
1993,3,21.8,0.035883815,0
1993,4,15.7,1.236963126,0
1993,5,11.4,1.25,0
1993,6,8.7,0.379390661,0
1993,7,6.6,0,0
1993,8,9.7,0.875700494,0
1993,9,10.9,0.53758187,0
1993,10,15.3,1.043840656,0
1993,11,17.9,0.824267407,0
1993,12,21.6,0.48021416,0
1994,1,22.4,0.515511384,0
1994,2,21.3,0.197454206,0
1994,3,19.4,1.108717886,0
1994,4,14.8,0.654630857,0
1994,5,13,1.25,0
1994,6,10.2,0.690576259,0
1994,7,7.3,0.467280255,0
1994,8,9.6,0.924192052,0
1994,9,13.1,0.402348177,0
1994,10,15.1,1.25,0
1994,11,19.8,0.075704687,0
1994,12,24.6,0.883550744,0
1995,1,21.8,0.684933504,0
1995,2,20.3,0.342735553,0
1995,3,19.2,0.897095385,0
1995,4,14.9,1.25,0
1995,5,12.1,1.014599903,0
1995,6,8.2,0.277083067,0
1995,7,6.4,0.259600142,0
1995,8,8.6,0.029950668,0
1995,9,12.9,0.173233243,0
1995,10,15.4,0.563019897,0
1995,11,20.5,0.507743502,0
1995,12,24.4,0.373560057,0
1996,1,22.5,0.462009662,0
1996,2,21.4,0.809080649,0
1996,3,20.8,0.758160612,0
1996,4,15.4,1.25,0
1996,5,12.8,0.211066403,0
1996,6,7.3,0.213140821,0
1996,7,7,0.037941559,0
1996,8,12.6,0.008557334,0
1996,9,12.2,0.068175663,0
1996,10,17.6,0.337635166,0
1996,11,20.5,0.918245639,0
1996,12,22.1,0.572250696,0
1997,1,25.2,0.347776511,0
1997,2,21.4,0.482462977,0
1997,3,20,1.25,0
1997,4,16.8,0.485632184,0
1997,5,14.5,0.492307692,0
1997,6,9.4,1.25,0
1997,7,10.6,0.334545455,0
1997,8,11.1,0.080074488,0
1997,9,13.2,0.704866562,0
1997,10,15.5,1.25,0
1997,11,18.1,0.859273066,0
1997,12,19.5,1.25,0
1998,1,21.5,0.766839378,0
1998,2,19.4,1.25,0
1998,3,18.3,0.282470034,0
1998,4,15.1,1.25,0
1998,5,13.9,0.723920733,0
1998,6,8.7,0.552034726,0
1998,7,9.5,0.601074175,0
1998,8,10.8,0.524849807,0
1998,9,10.3,0.510758658,0
1998,10,16.5,0.599258226,0
1998,11,18.9,0.564522017,0
1998,12,20.5,0.528397994,0
1999,1,20.6,0.575700822,0
1999,2,22.4,0.199059525,0
1999,3,19.8,1.25,0
1999,4,14.2,1.235648606,0
1999,5,13.2,0.207363484,0
1999,6,8.9,0.745992873,0
1999,7,7.5,0.33548326,0
1999,8,9.9,0.370817799,0
1999,9,12.4,0.683991901,0
1999,10,15.2,1.073891953,0
